,초등학교명,구명,동명
587,서울안평초등학교,['동대문구'],['장안동']
588,서울신현초등학교,['중랑구'],['신내동']
589,서울신묵초등학교,['중랑구'],['묵동']
590,서울신답초등학교,['동대문구'],['답십리동']
591,서울신내초등학교,['중랑구'],['신내동']
592,서울상봉초등학교,['중랑구'],['상봉동']
593,서울봉화초등학교,['중랑구'],['신내동']
594,서울배봉초등학교,['동대문구'],['전농동']
595,서울묵현초등학교,['중랑구'],[]
596,서울묵동초등학교,['중랑구'],"['서울묵동', '중화동']"
597,서울면중초등학교,['중랑구'],['면목동']
598,서울면일초등학교,['중랑구'],['망우동']
599,서울면북초등학교,['중랑구'],['망우동']
600,서울면목초등학교,['중랑구'],['면목동']
601,서울면동초등학교,['중랑구'],"['면목동', '면동']"
602,서울면남초등학교,['중랑구'],['면목동']
603,서울망우초등학교,['중랑구'],['망우동']
604,서울동원초등학교,['중랑구'],"['서울동', '망우동']"
605,서울동답초등학교,['동대문구'],"['답십리동', '서울동']"
606,서울답십리초등학교,['동대문구'],['답십리동']
607,서울군자초등학교,['동대문구'],['장안동']
608,금성초등학교,['중랑구'],['신내동']
609,경희초등학교,['동대문구'],['회기동']
610,학력인정 한림초등학교(4년제),['송파구'],['장지동']
