구명,초등학교,유치원
강남구,33,37
강동구,29,35
강북구,14,18
강서구,35,54
관악구,22,33
광진구,22,31
구로구,27,32
금천구,18,18
노원구,42,62
도봉구,23,27
동대문구,21,29
동작구,21,32
마포구,22,25
서대문구,19,23
서초구,24,26
성동구,21,28
성북구,29,47
송파구,41,50
양천구,30,39
영등포구,24,37
용산구,15,13
은평구,31,42
종로구,13,17
중구,12,14
중랑구,23,29
